twitter,ADE_or_not
"@DoctorChristian scared to start fluoxetine, what's you're opinion on them? Xx",0
"@IntuitiveGal1 ok, if you stopped taking the Lamictal, give 90mg a week.",0
Novartis announces secukinumab (AIN457) demonstrated superiority to Enbrel® in head-to-head Phase III psoriasis study .…,0
"""U wailed all night; now y'r disembodied sobbing all damn'd day, ghost?""
• EFFEXOR-XR®DISCONTINUATION SYNDROME AIN'T EXACTLY HEAVEN, ANGEL",1
"Not that anyone noticed, but my #ambienwithdrawl only lasted a few days. Why? Because I got another scrip. I need it while I'm on Levaquin.",1
Oh. I thought the Cymbalta commercial was a joke honestly...,0
@C4Dispatches Eeeeek. Just chucked my Victoza in the bin. I will take my chances with the diabetes #diabetes,0
At the Cypriot art and archaeology exhibition at the @NicholsonMuseum. Love the Cypro-Archaic bird jugs! Never seen anything like them.,0
Some fantastic talks at this years #PRIMO17. Lots of new work on impacts of fluoxetine in the aquatic environment #prozac #Antidepressants,0
I have my appointment set to start the Humira on June 13. I have done well on biologics before (Remicade)- hopefully will again. :-),0
@helloimmarta @prozac @SWIM_DEEP you guys don't even know what we're doing for you. Maaaad.,0
@alyseisspecial I take seroquel in day wanna be my friend have to reply to me for me to notice it I get free long distance,0
I'm up like I don't have an EOC in the am...but that's what vyvanse is for lol.,0
Fun Facts: Do you know what Meds are R for Mania? Currently #FDA approved: #quetiapine AKA #Seroquel,0
"Ohhh. Nicotine, Valium, Vicodin, marijuana, ecstasy and alcohol. C-c-c-c-c-cocaine!",0
Denosumab Solves Puzzler Apropos of Chine Losses In favor Mankind Not to mention Prostate Nevus: .NAt,0
Report on Fanapt :),0
Off to see the gi consultant this week. Hope theres something other than humira to try as not working also hair falling out.,1
all my niggas keep ah sig no nicotine,0
Pradaxa manufacturer confirmed reports of 260 fatal bleeding cases worldwide that had occurred in a period of three years. 1.888.520.5202.,0
"@rawarrior have had no response on double and triple treatments. Have exhausted humors, enbrel, and now on this. Recently taken out of work",0
Ann had a Tysabri infusion & an interview/medical with ATOS regarding DLA. Guess which experience was least joyful? http://bit.ly/19Xs5i2 ,0
Only my third all-nighter this week. Fuck you Drexel…. but thank you vyvanse and coffee,0
"Trazodone. they gave this to my son as a sleep aid. Did any of these ""drs"" see the latest research on antidepressants and bipolar? #bipolar",0
Walking around the north side with a cooler full of Humira syringes #crohnsproblems,0
Baclofen really is for recovering alcoholics.,0
@prozac aw no pls don't :(,0
I totally forgot to give myself an enbrel injection today...awesome...#fail,0
A comer bananas! :) RT @UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.,0
"""Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.” Woohoo more bananas for me! #fb",0
#Prozac come and help me please!,0
"Cipro is where u register ur business it's in pretoria,I was in Zeerust @ the time.",0
My favorite band member of PUNS AND ROSES is PAXIL ROSE.He's a musical fucking Guinness.,0
Putting things off until you get your Vyvanse.,0
@wildjacques I've got some Prozac lol,0
I got that kind of headache only nicotine can cure.,0
i'm getting frustrated with even video games and a 4.0 paper thanks to my vyvanse wearing off. Goodnight,0
"NO, NOT ALWAYS @Soph831: @DoctorChristian Do you always get side-effects with Fluoxetine?",0
"Gonna ask to return to Lexapro bc Cymbalta not workin, also bc busking profits plummeted when I could no longer play crotch like steel drum",0
No intravenous meds woop woop just 2 weeks of levofloxacin and minocycline tablets,0
"Wolf Blitzer gettin' the scoop: ""Band member lost cymbal during national anthem"" #SlowNewsDay 

Then they made a Cymbalta joke. Sponsored?",0
@alldaysmith I covet your Bombay Sapphire....I can only afford Lidl own brand at the moment. And I'm not allowed gin and Prozac....,0
"Katie: Michael looks depressed
Kate: Cymbalta can help! @Katie_9411 @KateFouuust @gabby_osteen",0
What untaking? Quetiapine or Trazodone? RT @MzAnonymousB: Hoping these meds work for my insomnia,0
@evann_lfc yea still a vampire as still on cipro wbu? Xx,1
"What happened with #MS is that Tysabri assoc w a serious deadly side effect,FDA pulled it,patient outcry brought it back @GoodmanBrenda",0
"@iron_mans_hoe ohhh, fluoxetine won't help for that ffs they're such idiots",0
"Off Paxil, back on Zoloft & cutting down. Also, cutting down my klonopin. Moving in the right direction. #progress #medtalk",0
@hayleyh79 @PArthritis wow theyre switching me from 8 tabs to injections... Cant get Humira here unless the Welsh Gov say yes lol ....,0
@burrddzzz aww :( ...  i really miss calling you out n saying you were on vyvanse lmao,0
"So it seems I'm one of those friends you can text and say, hey, do you have any spare Cipro? And I do. LOL",0
slutty ofloxacin,0
@Xarelto how much do you charge for this drug? Fascinated by the names but less with the $$. #singlepayernow,0
Alendronate + Cholecalciferol = Fosavance #Memorization,0
Zoledronic acid linked to early increase in sclerostin levels: (HealthDay)—Women with postmenopausal osteoporosis treated with zoledr...,0
New study suggests High-tech Enbrel no more effective than a cocktail of generic meds in rheumatoid arthritishttp://m.europe.wsj.com/articles/a/SB10001424127887324634304578539820933391866?mg=reno64-wsj …,0
You are the light at the end if my tunnel and the cup to my Stanley. #Cymbalta,0
Either I'm exhausted or this Paxil is working WONDERS cuz I ain't mad about shit,0
No definitive recommendation on how/whether #cardioversion can be done on apixaban - SH Hohnloser #ehraeuropace,0
"""Why is she so talkative, is she on Paxil?"" @Nnicole_Marie HAHAHAHAH",0
Xarelto is the perfect example of how the pharmaceutical industry works,0
@FrancisWalter Osteoporosis needs a cure. My mom suffered from it and I have it myself. I take Prolia twice a year. Grateful for that option,0
"@Tooba_Sd I found clozapine to be the most sedating, what dose of olanzapine were you on?",0
@siphohotstix I hv a TV show idea which company do I register my rights with? Cipro etc @siphohotstix,0
@kystikata Puts a lozenge in my mouth and feeds it to you BY KISSING YOU,0
"@jordantaylor068 yeah, I'm on vyvanse and sometimes I have to be reminded to eat because I just forget.",1
I hate being on cipro when it's sunny #cfproblems #rashy,0
This #HUMIRA shot has me feeling like a normal human .. No pain no inflammation no nothinggggh #RAproblems,0
"a cedarwood is a creeper: lozenge-shaped, yet ungodlike",0
"Compston - women on 5 years alendronate have reduced risk of vertebral fracture, if ALN continued for further 5 years ^CN #Rheum2013",0
@anwen ah I'm on 600mg quetiapine but as an anti psychotic. Not heard of those other two. Thanks.,0
"Hey, Hipsters, haven't you heard? Quetiapine is the new MDMA. #bipolarlifestylechoice",0
My dad keeps saying he's need Prozac for his ADD.... I have reminded him 4 times that he means Adderall and he just can't seem to grasp it.,0
@brofroradio @1035KISSFM Effexor works for my anxiety... no oooo weeeee needed! Lol ;),0
"@dedemarieex3: #MyBoyfriendNotAllowedTo ""vent"" to other female ? wtf she aint dr.phil nor a therapist ? depressed ? get cymbalta.""”",0
“@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.” Not @english_frankie,0
"the worst possible day of the week to forget my vyvanse..... what do you know, I forgot my vyvanse. #todayisdoomed ",0
@Yo_LoLoLo  “@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.”,0
By the way @MixWithSprite  U no I understand the vyvanse life  I took a 70 and I was goin BAHAA,0
Geez this vyvanse makes me talk a mile a minute haha,1
"Perks of taking fluoxetine.. Caffeine tolerance is so low, I had 12oz of coffee and my hands are shaking so much I can't clean tubes.",0
@Kirkby007 I believe that one is Tysabri. I was told same about Humira and cimzia so not sure what will happen.,0
"TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers). #TravelSkills",0
"@ETPC1 all anti depressants have a chance of that happening, I don't think Paxil is much higher.",0
my nigga dante addicted to that nicotine,1
@preesi Yes to depression and anxiety. Was on Cymbalta had to stop for chemo. Worked ok but would have liked better. Seeing dr soon 4 new 1,0
Cymbalta where r u?,0
Thanks for helpin' me clean and vacuum out my car vyvanse ,0
"For causal inference, the VRA debate raises question of effect under treatment (""Prozac"") vs effect after treatment (""Cipro"").",0
"@Ardiril Yeah, I ran out halfway through the week and forgot to put the new bottle into my organizer. Metoprolol. Better now.",0
"The 100mg tabs of trazodone my gp prescribed are too much, now that I don't take them every night. Still zombieish after an hour awake.",1
So glad I had this vyvanse ! To work I go !,0
85mg of vyvanse should help me pass,0
#Pavosic was used BID in patients with neuropathic pain taking Lyrica™ alone or with Cymbalta.  This addition provided more pain relief.,0
i need a lozenge,0
